precinct,year,category,incident_count
1,2000,MURDER & NON NEGL. MANSLAUGHTER,3
1,2001,MURDER & NON NEGL. MANSLAUGHTER,1
1,2002,MURDER & NON NEGL. MANSLAUGHTER,2
1,2003,MURDER & NON NEGL. MANSLAUGHTER,2
1,2004,MURDER & NON NEGL. MANSLAUGHTER,2
1,2005,MURDER & NON NEGL. MANSLAUGHTER,0
1,2006,MURDER & NON NEGL. MANSLAUGHTER,1
1,2007,MURDER & NON NEGL. MANSLAUGHTER,0
1,2008,MURDER & NON NEGL. MANSLAUGHTER,1
1,2009,MURDER & NON NEGL. MANSLAUGHTER,2
1,2010,MURDER & NON NEGL. MANSLAUGHTER,2
1,2011,MURDER & NON NEGL. MANSLAUGHTER,0
1,2012,MURDER & NON NEGL. MANSLAUGHTER,1
1,2013,MURDER & NON NEGL. MANSLAUGHTER,0
1,2014,MURDER & NON NEGL. MANSLAUGHTER,0
1,2000,RAPE,12
1,2001,RAPE,5
1,2002,RAPE,10
1,2003,RAPE,11
1,2004,RAPE,11
1,2005,RAPE,5
1,2006,RAPE,4
1,2007,RAPE,7
1,2008,RAPE,12
1,2009,RAPE,4
1,2010,RAPE,6
1,2011,RAPE,13
1,2012,RAPE,10
1,2013,RAPE,12
1,2014,RAPE,8
1,2000,ROBBERY,252
1,2001,ROBBERY,188
1,2002,ROBBERY,210
1,2003,ROBBERY,164
1,2004,ROBBERY,154
1,2005,ROBBERY,172
1,2006,ROBBERY,119
1,2007,ROBBERY,128
1,2008,ROBBERY,108
1,2009,ROBBERY,106
1,2010,ROBBERY,96
1,2011,ROBBERY,102
1,2012,ROBBERY,81
1,2013,ROBBERY,68
1,2014,ROBBERY,50
1,2000,FELONY ASSAULT,139
1,2001,FELONY ASSAULT,164
1,2002,FELONY ASSAULT,147
1,2003,FELONY ASSAULT,134
1,2004,FELONY ASSAULT,129
1,2005,FELONY ASSAULT,121
1,2006,FELONY ASSAULT,94
1,2007,FELONY ASSAULT,90
1,2008,FELONY ASSAULT,83
1,2009,FELONY ASSAULT,83
1,2010,FELONY ASSAULT,68
1,2011,FELONY ASSAULT,94
1,2012,FELONY ASSAULT,110
1,2013,FELONY ASSAULT,87
1,2014,FELONY ASSAULT,76
1,2000,BURGLARY,475
1,2001,BURGLARY,437
1,2002,BURGLARY,297
1,2003,BURGLARY,403
1,2004,BURGLARY,246
1,2005,BURGLARY,293
1,2006,BURGLARY,255
1,2007,BURGLARY,231
1,2008,BURGLARY,189
1,2009,BURGLARY,207
1,2010,BURGLARY,170
1,2011,BURGLARY,155
1,2012,BURGLARY,188
1,2013,BURGLARY,171
1,2014,BURGLARY,145
1,2000,GRAND LARCENY,2358
1,2001,GRAND LARCENY,2117
1,2002,GRAND LARCENY,1896
1,2003,GRAND LARCENY,1803
1,2004,GRAND LARCENY,1708
1,2005,GRAND LARCENY,1624
1,2006,GRAND LARCENY,1462
1,2007,GRAND LARCENY,1395
1,2008,GRAND LARCENY,1258
1,2009,GRAND LARCENY,1122
1,2010,GRAND LARCENY,1065
1,2011,GRAND LARCENY,979
1,2012,GRAND LARCENY,985
1,2013,GRAND LARCENY,1051
1,2014,GRAND LARCENY,896
1,2000,GRAND LARCENY OF MOTOR VEHICLE,199
1,2001,GRAND LARCENY OF MOTOR VEHICLE,157
1,2002,GRAND LARCENY OF MOTOR VEHICLE,153
1,2003,GRAND LARCENY OF MOTOR VEHICLE,132
1,2004,GRAND LARCENY OF MOTOR VEHICLE,133
1,2005,GRAND LARCENY OF MOTOR VEHICLE,90
1,2006,GRAND LARCENY OF MOTOR VEHICLE,78
1,2007,GRAND LARCENY OF MOTOR VEHICLE,63
1,2008,GRAND LARCENY OF MOTOR VEHICLE,57
